Date,Open,High,Low,Close,Volume,Adj Close
2015-10-20,111.339996,114.169998,110.82,113.769997,48778800,113.769997
2015-10-19,110.800003,111.75,110.110001,111.730003,29606100,111.730003
2015-10-16,111.779999,112.00,110.529999,111.040001,38236300,111.040001
2015-10-15,110.93,112.099998,110.489998,111.860001,37341000,111.860001
2015-10-14,111.290001,111.519997,109.559998,110.209999,44325600,110.209999
2015-10-13,110.82,112.449997,110.68,111.790001,32424000,111.790001
2015-10-12,112.730003,112.75,111.440002,111.599998,30114400,111.599998
2015-10-09,110.00,112.279999,109.489998,112.120003,52533800,112.120003
2015-10-08,110.190002,110.190002,108.209999,109.50,61698500,109.50
2015-10-07,111.739998,111.769997,109.410004,110.779999,46602600,110.779999
2015-10-06,110.629997,111.739998,109.769997,111.309998,48196800,111.309998
2015-10-05,109.879997,111.370003,109.07,110.779999,51723100,110.779999
2015-10-02,108.010002,111.010002,107.550003,110.379997,57560400,110.379997
2015-10-01,109.07,109.620003,107.309998,109.580002,63748000,109.580002
2015-09-30,110.169998,111.540001,108.730003,110.300003,66105000,110.300003
2015-09-29,112.830002,113.510002,107.860001,109.059998,73135900,109.059998
2015-09-28,113.849998,114.57,112.440002,112.440002,51723900,112.440002
2015-09-25,116.440002,116.690002,114.019997,114.709999,55842200,114.709999
2015-09-24,113.25,115.50,112.370003,115.00,49810600,115.00
2015-09-23,113.629997,114.720001,113.300003,114.32,35645700,114.32
2015-09-22,113.379997,114.18,112.519997,113.400002,49809000,113.400002
2015-09-21,113.669998,115.370003,113.660004,115.209999,46554300,115.209999
2015-09-18,112.209999,114.300003,111.870003,113.449997,73419000,113.449997
2015-09-17,115.660004,116.489998,113.720001,113.919998,63462700,113.919998
2015-09-16,116.25,116.540001,115.440002,116.410004,36910000,116.410004
2015-09-15,115.93,116.529999,114.419998,116.279999,43004100,116.279999
2015-09-14,116.580002,116.889999,114.860001,115.309998,58201900,115.309998
2015-09-11,111.790001,114.209999,111.760002,114.209999,49441800,114.209999
2015-09-10,110.269997,113.279999,109.900002,112.57,62675200,112.57
2015-09-09,113.760002,114.019997,109.769997,110.150002,84344400,110.150002
2015-09-08,111.75,112.559998,110.32,112.309998,54114200,112.309998
2015-09-04,108.970001,110.449997,108.510002,109.269997,49963900,109.269997
2015-09-03,112.489998,112.779999,110.040001,110.370003,52906400,110.370003
2015-09-02,110.230003,112.339996,109.129997,112.339996,61888800,112.339996
2015-09-01,110.150002,111.879997,107.360001,107.720001,76845900,107.720001
2015-08-31,112.029999,114.529999,112.00,112.760002,56229300,112.760002
2015-08-28,112.169998,113.309998,111.540001,113.290001,53164400,113.290001
2015-08-27,112.230003,113.239998,110.019997,112.919998,84616100,112.919998
2015-08-26,107.089996,109.889999,105.050003,109.690002,96774600,109.690002
2015-08-25,111.110001,111.110001,103.50,103.739998,103601600,103.739998
2015-08-24,94.870003,108.800003,92.00,103.120003,162206300,103.120003
2015-08-21,110.43,111.900002,105.650002,105.760002,128275500,105.760002
2015-08-20,114.080002,114.349998,111.629997,112.650002,68501600,112.650002
2015-08-19,116.099998,116.519997,114.68,115.010002,47445700,115.010002
2015-08-18,116.43,117.440002,116.010002,116.50,34560700,116.50
2015-08-17,116.040001,117.650002,115.50,117.160004,40884700,117.160004
2015-08-14,114.32,116.309998,114.010002,115.959999,42929500,115.959999
2015-08-13,116.040001,116.400002,114.540001,115.150002,48535800,115.150002
2015-08-12,112.529999,115.419998,109.629997,115.239998,101217500,115.239998
2015-08-11,117.809998,118.18,113.330002,113.489998,97082800,113.489998
2015-08-10,116.529999,119.989998,116.529999,119.720001,54951600,119.720001
2015-08-07,114.580002,116.25,114.50,115.519997,38670400,115.519997
2015-08-06,115.970001,116.50,114.120003,115.129997,52903000,115.129997
2015-08-05,112.949997,117.440002,112.099998,115.400002,99312600,114.880003
2015-08-04,117.419998,117.699997,113.25,114.639999,124138600,114.123426
2015-08-03,121.50,122.57,117.519997,118.440002,69976000,117.906306
2015-07-31,122.599998,122.639999,120.910004,121.300003,42885000,120.753419
2015-07-30,122.32,122.57,121.709999,122.370003,33628300,121.818597
2015-07-29,123.150002,123.50,122.269997,122.989998,37011700,122.435799
2015-07-28,123.379997,123.910004,122.550003,123.379997,33618100,122.824041
2015-07-27,123.089996,123.610001,122.120003,122.769997,44455500,122.216789
2015-07-24,125.32,125.739998,123.900002,124.50,42162300,123.938997
2015-07-23,126.199997,127.089996,125.059998,125.160004,50999500,124.596026
2015-07-22,121.989998,125.50,121.989998,125.220001,115450600,124.655753
2015-07-21,132.850006,132.919998,130.320007,130.75,76756400,130.160834
2015-07-20,130.970001,132.970001,130.699997,132.070007,58900200,131.474893
2015-07-17,129.080002,129.619995,128.309998,129.619995,46164700,129.035921
2015-07-16,127.739998,128.570007,127.349998,128.509995,36222400,127.930922
2015-07-15,125.720001,127.150002,125.580002,126.82,33649200,126.248542
2015-07-14,126.040001,126.370003,125.040001,125.610001,31768100,125.043995
2015-07-13,125.029999,125.760002,124.32,125.660004,41440500,125.093773
2015-07-10,121.940002,123.849998,121.209999,123.279999,61354500,122.724493
2015-07-09,123.849998,124.059998,119.220001,120.07,77821600,119.528958
2015-07-08,124.480003,124.639999,122.540001,122.57,60761600,122.017693
2015-07-07,125.889999,126.150002,123.769997,125.690002,46946800,125.123637
2015-07-06,124.940002,126.230003,124.849998,126.00,28060400,125.432238
2015-07-02,126.43,126.690002,125.769997,126.440002,27211000,125.870257
2015-07-01,126.900002,126.940002,125.989998,126.599998,30238800,126.029532
2015-06-30,125.57,126.120003,124.860001,125.43,44370700,124.864806
2015-06-29,125.459999,126.470001,124.480003,124.529999,49161400,123.96886
